Method,Success (%),Full RMSE (m),Steady RMSE (m),Capture time (s),Stable ratio (%),Forward overshoot (m),Command smoothness
PD+FF,100.0,0.4330287542939186,0.0557829068228602,5.5695,72.15250000000002,0.0,1.023695691856119e-05
Direct PPO,100.0,0.3845086766779422,0.0063297923095524,3.1795,84.10750000000002,0.0074892652034759,0.0023249562643468
Residual PPO,100.0,0.404345293790102,0.0172676667757332,3.884,80.57999999999998,0.0053199243545532,3.60298520536162e-05
