method,seed,loss_start_time,loss_duration,loss_end_time,success,recovered,retained_recovery,rmse,steady_rmse,stable_ratio,capture_time,recovery_time,retained_settling_time,loss_window_peak_error,post_loss_peak_error,forward_overshoot,post_loss_forward_overshoot,command_smoothness,max_command_change,final_error,final_relative_speed,initial_uav_x,initial_uav_y,ugv_vx
PD+FF,1010,3.0,0.0,3.0,True,True,True,0.669784710034737,0.09935972205801859,0.6525,6.95,3.95,3.95,0.0,0.9195360541343689,0.0,0.0,7.943538548715878e-06,0.011787151917815208,0.0003825050953309983,0.00017739208124112338,-1.8575115203857422,0.07161146402359009,0.4753030240535736
PD+FF,1011,3.0,0.0,3.0,True,True,True,0.4848319950331099,0.061548378692955985,0.705,5.9,2.9000000000000004,2.9000000000000004,0.0,0.5704866647720337,0.0,0.0,1.3891313756175805e-05,0.013753852806985378,0.00022026598162483424,0.00010332273814128712,-1.57381272315979,0.12664707005023956,0.26378002762794495
PD+FF,1012,3.0,0.0,3.0,True,True,True,0.49596547974684563,0.06263517431593733,0.7025,5.95,2.95,2.95,0.0,0.580564558506012,0.0,0.0,1.5104847989277914e-05,0.014041231945157051,0.00022886469378136098,0.00010705483873607591,-1.5405192375183105,0.561293363571167,0.2715309262275696
PD+FF,1013,3.0,0.0,3.0,True,True,True,0.34751963169154154,0.04315329184694817,0.7425,5.15,2.1500000000000004,2.1500000000000004,0.0,0.399991899728775,0.0,0.0,8.645255547889974e-06,0.010300816036760807,0.0001675401726970449,7.779265433782712e-05,-0.8082606196403503,-0.8420410752296448,0.401797890663147
PD+FF,1014,3.0,0.0,3.0,True,True,True,0.47035271408178286,0.06307174246165206,0.7025,5.95,2.95,2.95,0.0,0.5845673680305481,0.0,0.0,8.174680260708556e-06,0.011730053462088108,0.0002477251982782036,0.00011487104347907007,-1.3467140197753906,0.1714046150445938,0.4693894386291504
PD+FF,1015,3.0,0.0,3.0,True,True,True,0.4849007343402186,0.06344073687722696,0.7,6.0,3.0,3.0,0.0,0.5880197286605835,0.0,0.0,1.0737347110989504e-05,0.01325275469571352,0.0002286761737195775,0.00010717355326050892,-1.4601455926895142,0.21413566172122955,0.39239153265953064
PD+FF,1016,3.0,0.0,3.0,True,True,True,0.523944202773205,0.0675407599876095,0.695,6.1000000000000005,3.1000000000000005,3.1000000000000005,0.0,0.6260214447975159,0.0,0.0,1.3606318134407047e-05,0.014452640898525715,0.0002592314558569342,0.0001204273576149717,-1.6580126285552979,-0.11461202055215836,0.3060871958732605
PD+FF,1017,3.0,0.0,3.0,True,True,True,0.28519752841121065,0.03620952195942351,0.7625,4.75,1.75,1.75,0.0,0.33563873171806335,0.0,0.0,5.959328973403899e-06,0.008361628279089928,0.0001299832365475595,6.0997186665190384e-05,-0.62247234582901,0.6426637768745422,0.4917738139629364
PD+FF,1018,3.0,0.0,3.0,True,True,True,0.3848990472020418,0.05073090086192368,0.725,5.5,2.5,2.5,0.0,0.4702049493789673,0.0,0.0,8.032200639718212e-06,0.010755002498626709,0.0001719491119729355,8.170118235284463e-05,-1.1090368032455444,-0.0900818482041359,0.4614541530609131
PD+FF,1019,3.0,0.0,3.0,True,True,True,0.5413253223837368,0.07049151182817882,0.69,6.2,3.2,3.2,0.0,0.6533508896827698,0.0,0.0,1.2651531505980529e-05,0.014506306499242783,0.0002499657275620848,0.0001174947974504903,-1.674609661102295,-0.20800989866256714,0.34006524085998535
