method,seed,position_noise_std,velocity_noise_std,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,final_error,final_relative_speed,stable_ratio,capture_time,settling_time,forward_overshoot,meaningful_ahead_ratio,command_smoothness,mean_command_change,max_command_change
PD+FF,1041,0.0,0.0,-0.6478168964385986,-0.19675222039222717,0.46515655517578125,True,0.24016302824020386,0.03113195300102234,0.00012586548109538853,5.8172099670628086e-05,0.7775,4.45,4.45,0.0,0.0,3.854061560559785e-06,0.0009833989897742867,0.007169817108660936
PD+FF,1042,0.0,0.0,-1.463887333869934,-0.25558269023895264,0.3728010952472687,True,0.481768935918808,0.06264185160398483,0.00023061392130330205,0.00010768110951175913,0.7025,5.95,5.95,0.0,0.0,1.1459576853667386e-05,0.0016747985500842333,0.013338420540094376
PD+FF,1043,0.0,0.0,-1.7490100860595703,-0.7958716750144958,0.31946444511413574,True,0.5941879749298096,0.07644546777009964,0.00027608638629317284,0.00012926045747008175,0.68,6.4,6.4,0.0,0.0,1.6782942111603916e-05,0.0021224499214440584,0.015799790620803833
PD+FF,1044,0.0,0.0,-1.981444239616394,0.7169352173805237,0.20961801707744598,True,0.6310648322105408,0.08005426079034805,0.0002942763385362923,0.00013759471767116338,0.675,6.5,6.5,0.0,0.0,2.0554389266180806e-05,0.0023016806226223707,0.017258545383810997
PD+FF,1045,0.0,0.0,-0.7272861003875732,-0.39523494243621826,0.4158290922641754,True,0.26832669973373413,0.034033339470624924,0.000123366029583849,5.847505235578865e-05,0.7675,4.65,4.65,0.0,0.0,4.897060989605961e-06,0.0011093238135799766,0.007996262982487679
PD+FF,1046,0.0,0.0,-1.868130087852478,0.6265861392021179,0.39649125933647156,True,0.6510306000709534,0.08856672048568726,0.0003236715856473893,0.00015148089732974768,0.665,6.7,6.7,0.0,0.0,1.268201413040515e-05,0.0019224617863073945,0.013842117041349411
PD+FF,1047,0.0,0.0,-1.1699552536010742,-0.14992530643939972,0.29876548051834106,True,0.3641320466995239,0.04581631347537041,0.00017340652993880212,8.07183314464055e-05,0.735,5.300000000000001,5.300000000000001,0.0,0.0,8.29235250421334e-06,0.001426803763024509,0.010809860192239285
PD+FF,1048,0.0,0.0,-0.9076822996139526,-0.7630760073661804,0.4824531674385071,True,0.3781713843345642,0.04847816750407219,0.00016570357547607273,7.830094546079636e-05,0.73,5.4,5.4,0.0,0.0,9.578472599969245e-06,0.001570045598782599,0.010756651870906353
PD+FF,1049,0.0,0.0,-1.6127384901046753,0.09402617067098618,0.43331217765808105,True,0.5516440868377686,0.07478052377700806,0.0002739012415986508,0.00012818216055165976,0.6825,6.3500000000000005,6.3500000000000005,0.0,0.0,9.226735528500285e-06,0.001473122276365757,0.012505079619586468
PD+FF,1050,0.0,0.0,-1.2507070302963257,-0.40418457984924316,0.49881017208099365,True,0.4567083716392517,0.06132746487855911,0.00022570573491975665,0.00010558211943134665,0.705,5.9,5.9,0.0,0.0,8.130743481160607e-06,0.0014829611172899604,0.011183705180883408
PD+FF,1051,0.0,0.0,-0.8433747291564941,-0.6024307608604431,0.2584548592567444,True,0.2959114611148834,0.03602907061576843,0.00013327223132364452,6.231918086996302e-05,0.7625,4.75,4.75,0.0,0.0,6.45936643195455e-06,0.0012494651600718498,0.00931263342499733
PD+FF,1052,0.0,0.0,-1.577463150024414,-0.03658809885382652,0.32490968704223633,True,0.5016737580299377,0.06477614492177963,0.00023368510301224887,0.00010956959158647805,0.6975,6.050000000000001,6.050000000000001,0.0,0.0,1.2792404959327541e-05,0.0017036354402080178,0.013857802376151085
PD+FF,1053,0.0,0.0,-0.7320424914360046,-0.38764455914497375,0.44851720333099365,True,0.2760452330112457,0.035383179783821106,0.00012128568050684407,5.699795292457566e-05,0.765,4.7,4.7,0.0,0.0,5.115535714139696e-06,0.0011384733952581882,0.008126680739223957
PD+FF,1054,0.0,0.0,-1.9604523181915283,0.6108824014663696,0.3443475067615509,True,0.6611873507499695,0.0881199836730957,0.0003149077820125967,0.00014781007484998554,0.665,6.7,6.7,0.0,0.0,1.4456090866588056e-05,0.002017607446759939,0.014762049540877342
PD+FF,1055,0.0,0.0,-0.8035520911216736,-0.8197364807128906,0.37500709295272827,True,0.3379405438899994,0.04173753410577774,0.0001475450408179313,6.924118497408926e-05,0.745,5.1000000000000005,5.1000000000000005,0.0,0.0,8.249693564721383e-06,0.0014259465970098972,0.010167498141527176
PD+FF,1056,0.0,0.0,-0.6173267960548401,-0.7547652125358582,0.33817118406295776,True,0.2779201567173004,0.03379954770207405,0.00012761447578668594,5.948036050540395e-05,0.77,4.6000000000000005,4.6000000000000005,0.0,0.0,5.943630640103947e-06,0.0011931360932067037,0.008749747648835182
PD+FF,1057,0.0,0.0,-1.4013786315917969,-0.020997419953346252,0.2980625629425049,True,0.43635666370391846,0.055471427738666534,0.00020171543292235583,9.43007689784281e-05,0.715,5.7,5.7,0.0,0.0,1.1329720109642949e-05,0.001669405261054635,0.012582065537571907
PD+FF,1058,0.0,0.0,-1.9344123601913452,-0.6835842132568359,0.34246277809143066,True,0.6558837890625,0.08690709620714188,0.0003242169041186571,0.00015129866369534284,0.6675,6.65,6.65,0.0,0.0,1.5057858945510816e-05,0.002063375897705555,0.014890632592141628
PD+FF,1059,0.0,0.0,-1.3239208459854126,-0.34795770049095154,0.3298633396625519,True,0.42855536937713623,0.05459374561905861,0.0002090749330818653,9.724652773002163e-05,0.7175,5.65,5.65,0.0,0.0,1.1081616321462207e-05,0.0016748777125030756,0.012188461609184742
PD+FF,1060,0.0,0.0,-0.5232435464859009,-0.8263487219810486,0.4775193929672241,True,0.2911730408668518,0.03610130399465561,0.0001407265808666125,6.524972559418529e-05,0.7625,4.75,4.75,0.0,0.0,6.566031515831128e-06,0.0012626153184100986,0.00866315234452486
