method,alpha,seed,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,max_tracking_error,final_error,final_relative_speed,stable_ratio,capture_time,forward_overshoot,ahead_ratio,command_smoothness,mean_abs_velocity_error,total_reward,held_out
Nominal Residual PPO,0.0,1039,-0.6960156559944153,-0.0387578122317791,0.3661683201789856,True,0.20191070644222361,0.00906906304770791,0.7714503407478333,0.005900407675653696,1.5028687812446151e-05,0.86,2.8000000000000003,0.005900382995605469,0.56,3.2832484349579534e-05,0.0,307.5968201233497,False
Nominal Residual PPO,0.0,1040,-0.7547146081924438,0.5635512471199036,0.4134989380836487,True,0.2632780248036639,0.011347396112603342,0.990514874458313,0.007605741731822491,1.2641932698898017e-05,0.845,3.1,0.007603645324707031,0.5775,3.1894463538741946e-05,0.0,290.15992505833293,False
Nominal Residual PPO,0.0,1041,-0.6478168964385986,-0.19675222039222717,0.46515655517578125,True,0.21441344266458162,0.011732561049900943,0.7885604500770569,0.009408990852534771,1.696733852440957e-05,0.855,2.9000000000000004,0.009401321411132812,0.5825,3.1340534637126076e-05,0.0,301.5357090355993,False
Nominal Residual PPO,0.0,1042,-1.463887333869934,-0.25558269023895264,0.3728010952472687,True,0.4538705144520529,0.019265359463827302,1.5576238632202148,0.00613022455945611,2.076398959616199e-05,0.7925,4.15,0.006130218505859375,0.4925,3.403717664505661e-05,0.0,232.99787833732668,False
Nominal Residual PPO,0.0,1043,-1.7490100860595703,-0.7958716750144958,0.31946444511413574,True,0.5642242312306405,0.02418181575516368,1.9551773071289062,0.004192560911178589,2.1603709683404304e-05,0.7725,4.55,0.0041866302490234375,0.4425,4.1297096564714376e-05,0.0,204.0790812916677,False
Nominal Residual PPO,0.0,1044,-1.981444239616394,0.7169352173805237,0.20961801707744598,True,0.5992311773346443,0.018117617869650497,2.121452808380127,0.0007362143369391561,1.5542596884188242e-05,0.7675,4.65,0.00012683868408203125,0.1625,4.17519984236536e-05,0.0,198.1501490596846,False
Nominal Residual PPO,0.0,1045,-0.7272861003875732,-0.39523494243621826,0.4158290922641754,True,0.24043115399796006,0.011921353391011077,0.8941770792007446,0.00768606411293149,1.370856352878036e-05,0.8475,3.0500000000000003,0.007683753967285156,0.5625,3.649918588009959e-05,0.0,294.3983458600705,False
Nominal Residual PPO,0.0,1046,-1.868130087852478,0.6265861392021179,0.39649125933647156,True,0.6311998971918823,0.028130668007809233,2.037029266357422,0.006969756912440062,2.7617479645414278e-05,0.755,4.9,0.006968975067138672,0.4725,3.281732084238274e-05,0.0,180.88837790351874,False
Nominal Residual PPO,0.0,1047,-1.1699552536010742,-0.14992530643939972,0.29876548051834106,True,0.3337308119945226,0.012694326551904628,1.2259840965270996,0.0034499196335673332,1.4883230505802203e-05,0.82,3.6,0.0034356117248535156,0.4775,3.5811656117711357e-05,0.0,268.4623702919447,False
Nominal Residual PPO,0.0,1048,-0.9076822996139526,-0.7630760073661804,0.4824531674385071,True,0.34747291233635924,0.017993744415479185,1.2431679964065552,0.010012884624302387,1.3787170246359892e-05,0.81,3.8000000000000003,0.010003089904785156,0.55,3.5336851168993315e-05,0.0,258.42966622110947,False
Nominal Residual PPO,0.0,1049,-1.6127384901046753,0.09402617067098618,0.43331217765808105,True,0.5319633190981956,0.025200750546482683,1.7216302156448364,0.008279870264232159,2.606411544547882e-05,0.77,4.6000000000000005,0.008275985717773438,0.495,3.0216945008146517e-05,0.0,206.28255975975802,False
Nominal Residual PPO,0.0,1050,-1.2507070302963257,-0.40418457984924316,0.49881017208099365,True,0.4350987949909772,0.022915423569298713,1.4333502054214478,0.010547056794166565,2.5346645998070017e-05,0.7925,4.15,0.010535240173339844,0.5275,3.057906698571861e-05,0.0,233.27467195761022,False
Nominal Residual PPO,0.0,1051,-0.8433747291564941,-0.6024307608604431,0.2584548592567444,True,0.26431789598665983,0.011323736010086446,1.0516074895858765,0.0020110695622861385,1.1554316188266966e-05,0.8425,3.1500000000000004,0.0019488334655761719,0.445,3.847891277523341e-05,0.0,289.8834395844236,False
Nominal Residual PPO,0.0,1052,-1.577463150024414,-0.03658809885382652,0.32490968704223633,True,0.47278937412101474,0.01822258956072124,1.6356801986694336,0.004399011377245188,1.7068179658963345e-05,0.7875,4.25,0.00439453125,0.4675,3.500355629865137e-05,0.0,228.4833905197184,False
Nominal Residual PPO,0.0,1053,-0.7320424914360046,-0.38764455914497375,0.44851720333099365,True,0.24837136511232671,0.012827897806415344,0.9092598557472229,0.00884433463215828,1.0709512025641743e-05,0.845,3.1,0.008838653564453125,0.5675,3.602297896169558e-05,0.0,291.4608720369109,False
Nominal Residual PPO,0.0,1054,-1.9604523181915283,0.6108824014663696,0.3443475067615509,True,0.6391269523722567,0.025665367410665187,2.1031830310821533,0.005099654197692871,2.1521114831557497e-05,0.755,4.9,0.0050983428955078125,0.4525,3.4842045009373584e-05,0.0,181.11391696265878,False
Nominal Residual PPO,0.0,1055,-0.8035520911216736,-0.8197364807128906,0.37500709295272827,True,0.30623254200904976,0.014682528492291753,1.1733254194259644,0.006228003650903702,1.1947429811698385e-05,0.8225,3.5500000000000003,0.006227970123291016,0.53,4.8552763752444716e-05,0.0,272.62878947101234,False
Nominal Residual PPO,0.0,1056,-0.6173267960548401,-0.7547652125358582,0.33817118406295776,True,0.24839963371075557,0.011969814042201227,0.9910121560096741,0.004886659327894449,1.3843806300428696e-05,0.835,3.3000000000000003,0.0048847198486328125,0.5275,4.155719531887033e-05,0.0,288.43504476795994,False
Nominal Residual PPO,0.0,1057,-1.4013786315917969,-0.020997419953346252,0.2980625629425049,True,0.4056414251949154,0.014901214510826044,1.4497898817062378,0.003426517592743039,1.451965727028437e-05,0.8025,3.95,0.0034117698669433594,0.4625,3.6218528421756396e-05,0.0,248.06685990886766,False
Nominal Residual PPO,0.0,1058,-1.9344123601913452,-0.6835842132568359,0.34246277809143066,True,0.6312327945422812,0.028171992083940094,2.0965728759765625,0.0050116428174078465,3.0444767617154866e-05,0.7575,4.8500000000000005,0.005010128021240234,0.4425,3.878830176314311e-05,0.0,183.26370178394848,False
Nominal Residual PPO,0.0,1059,-1.3239208459854126,-0.34795770049095154,0.3298633396625519,True,0.3972665547553616,0.01607345279703411,1.4192335605621338,0.0045724413357675076,2.0310902982600965e-05,0.805,3.9000000000000004,0.004569053649902344,0.485,3.670670631421528e-05,0.0,249.80505215838778,False
Nominal Residual PPO,0.0,1060,-0.5232435464859009,-0.8263487219810486,0.4775193929672241,True,0.26284900479481216,0.01466824881713187,1.0047281980514526,0.009829203598201275,2.043063796008937e-05,0.825,3.5,0.009819984436035156,0.5775,3.732412776730269e-05,0.0,279.9767464171008,False
Nominal Residual PPO,0.0,1061,-1.0766786336898804,0.09924349933862686,0.28927016258239746,True,0.3013930974848205,0.010866858555503244,1.1258193254470825,0.0031151194125413895,9.97618099063402e-06,0.8275,3.45,0.0030946731567382812,0.4825,3.347654478184428e-05,0.0,277.92627567313133,False
Nominal Residual PPO,0.0,1062,-1.020176649093628,-0.6513675451278687,0.4292861223220825,True,0.35277911145896823,0.016931326091073576,1.2664623260498047,0.00814889743924141,2.018787563429214e-05,0.815,3.7,0.008145332336425781,0.535,3.5991819854898124e-05,0.0,260.37348492757474,False
Nominal Residual PPO,0.0,1063,-0.5567145943641663,0.6067063212394714,0.2895512878894806,True,0.20013959660225067,0.007652668965820275,0.8364686965942383,0.003128601238131523,7.544506388512673e-06,0.87,2.6,0.003108501434326172,0.5575,2.8332744215739333e-05,0.0,312.8787578922906,False
Nominal Residual PPO,0.0,1064,-1.6129041910171509,-0.13716638088226318,0.24278511106967926,True,0.46044632617698633,0.0160682424018262,1.6486083269119263,0.0014716737205162644,1.713128949631937e-05,0.79,4.2,0.0013566017150878906,0.3725,3.937202904948977e-05,0.0,233.23643526106466,False
