alpha,method,success_rate,rmse_mean,rmse_std,steady_rmse_mean,forward_overshoot_mean,forward_overshoot_std,capture_time_mean,stable_ratio_mean,ahead_ratio_mean,command_smoothness_mean,velocity_error_mean
0.0,PD+FF,1.0,0.43302875563750315,0.13662340988187963,0.05578290688378769,0.0,0.0,5.5695,0.7215250000000002,0.0,1.0236956903528222e-05,0.0
0.0,Residual PPO,1.0,0.40434529264824326,0.13876278684396945,0.017267666928406894,0.005319924354553223,0.003157335084778309,3.8840000000000003,0.8057999999999998,0.47379999999999994,3.602985198257507e-05,0.0
0.25,PD+FF,1.0,0.4093374132924899,0.13547708692600216,0.022588553468871363,5.078315734863281e-07,1.2331819286403296e-06,4.3485000000000005,0.7825749999999999,0.013224999999999997,1.4646487467064732e-05,0.017463433625176546
0.25,Residual PPO,1.0,0.39227415979805974,0.13998842141085177,0.008697449437574126,0.005344762802124024,0.003161770041321022,3.446499999999999,0.8276750000000002,0.568275,6.20769798648534e-05,0.017530322612822054
0.5,PD+FF,1.0,0.39229925139497995,0.13817373467145935,0.0028758743071812033,0.008507021665573121,0.0020242793378910454,3.8855,0.8057249999999998,0.407625,3.132381420856815e-05,0.03535603799354285
0.5,Residual PPO,1.0,0.3861911674249596,0.14200597312011512,0.006735040107829235,0.005348844528198242,0.0031634128934523477,3.2620000000000005,0.8368999999999999,0.6361,9.128531404436705e-05,0.03506089080516249
0.75,PD+FF,1.0,0.38763773191919887,0.14088991357183017,0.019663938925816252,0.15386289715766907,0.025458348014077092,5.0195,0.7500749999999999,0.4401,7.448115554531489e-05,0.06640195127110929
0.75,Residual PPO,1.0,0.3841035362325344,0.1425300333489352,0.008852427457441999,0.026792538464069367,0.018197224737922724,3.6914999999999996,0.8131999999999999,0.8227999999999999,0.00013288507225470608,0.05425458607003094
1.0,PD+FF,0.02,0.42845795495737704,0.1291599335134,0.1378674499770019,0.40884306371212004,0.05294595258766616,11.911,0.366225,0.466875,0.00029017977095372507,0.1793840989030897
1.0,Residual PPO,0.58,0.40576590648142985,0.13542266759794236,0.06501913717638091,0.18718428701162337,0.08075005086197246,7.753000000000001,0.5697249999999999,0.6992999999999999,0.00031619199177868333,0.09215672549512238
