method,alpha,seed,initial_uav_x,initial_uav_y,ugv_vx,success,rmse,steady_rmse,max_tracking_error,final_error,final_relative_speed,stable_ratio,capture_time,forward_overshoot,ahead_ratio,command_smoothness,mean_abs_velocity_error,total_reward
PD+FF,0.0,1063,-0.5567145943641663,0.6067063212394714,0.2895512878894806,True,0.23207503953830522,0.028053754609652877,0.8368862271308899,0.00010898220352828503,5.0532697059679776e-05,0.79,4.2,0.0,0.0,4.247417124415981e-06,0.0,268.25105984529796
PD+FF,0.0,1064,-1.6129041910171509,-0.13716638088226318,0.24278511106967926,True,0.49230937005134534,0.062271634328678376,1.648824691772461,0.00023318857711274177,0.0001086960473912768,0.7025,5.95,0.0,0.0,1.4441817490858208e-05,0.0,178.99733925380283
PD+FF,0.0,1065,-0.5033138990402222,-0.5932050347328186,0.453745573759079,True,0.24051411265283354,0.030054522170355424,0.8190358877182007,0.00010430141992401332,4.934263415634632e-05,0.7825,4.3500000000000005,0.0,0.0,4.452405725395423e-06,0.0,262.7858285900554
PD+FF,0.0,1066,-1.3762075901031494,0.32575497031211853,0.20805609226226807,True,0.41529727657905946,0.05147672317479929,1.433012843132019,0.00019222057017032057,9.019601566251367e-05,0.7225,5.550000000000001,0.0,0.0,1.1175674804939795e-05,0.0,203.3578581793585
PD+FF,0.0,1067,-0.6176835894584656,0.9055254459381104,0.20151829719543457,True,0.2944870702960977,0.03511269494487122,1.0992552042007446,0.00012674846220761538,5.9195386711508036e-05,0.765,4.7,0.0,0.0,6.961502700185333e-06,0.0,245.77546525405708
PD+FF,0.0,1068,-0.7787961959838867,0.5352519750595093,0.25048118829727173,True,0.26916741512965925,0.03269658493423027,0.9608893394470215,0.0001233189832419157,5.733281432185322e-05,0.7725,4.55,0.0,0.0,5.41837377026944e-06,0.0,253.6412348640951
PD+FF,0.0,1069,-0.5076419115066528,0.8446078896522522,0.24751581251621246,True,0.26616592563922037,0.03177677299083787,0.9901279211044312,0.00011855122284032404,5.5316580983344465e-05,0.775,4.5,0.0,0.0,5.739279674457418e-06,0.0,255.4952482818436
PD+FF,0.0,1070,-1.6644020080566406,0.9533751606941223,0.22921264171600342,True,0.5619850781556242,0.07016897942949629,1.9316902160644531,0.0002622129686642438,0.00012211395369376987,0.69,6.2,0.0,0.0,2.0166143673078737e-05,0.0,159.76650574339436
PD+FF,0.0,1071,-1.6379417181015015,0.7469041347503662,0.26974478363990784,True,0.5414778381814165,0.06842930504065645,1.823213815689087,0.0002566158364061266,0.00011975569213973358,0.6925,6.15,0.0,0.0,1.752047011832155e-05,0.0,164.6217690781327
PD+FF,0.0,1072,-1.22187077999115,0.3675197660923004,0.4661308228969574,True,0.4337090125174954,0.05726818192526989,1.383142352104187,0.00021931495575699955,0.00010147508874069899,0.7125,5.75,0.0,0.0,8.856299905950437e-06,0.0,193.64779614402656
PD+FF,0.0,1073,-1.5133368968963623,0.8512749075889587,0.3800120949745178,True,0.5426552452070172,0.06990370141640181,1.7805835008621216,0.00025470092077739537,0.00011921399709535763,0.69,6.2,0.0,0.0,1.502850839731671e-05,0.0,162.59632342734847
PD+FF,0.0,1074,-0.5001789927482605,-0.2884053587913513,0.4962819218635559,True,0.20873705853490493,0.027106408813303718,0.6876004338264465,8.266921940958127e-05,3.983652641181834e-05,0.7925,4.15,0.0,0.0,3.1749230696891947e-06,0.0,272.84099111824105
PD+FF,0.0,1075,-0.8189709782600403,0.9466501474380493,0.23914383351802826,True,0.3452018375813247,0.04156418694638572,1.2590471506118774,0.00015272514428943396,7.1341433795169e-05,0.7475,5.050000000000001,0.0,0.0,9.090456721904265e-06,0.0,228.21058796513677
PD+FF,0.0,1076,-1.445397138595581,-0.562984049320221,0.45283621549606323,True,0.5178411119837181,0.06897054080375897,1.6387313604354858,0.00026212248485535383,0.00012157461605966091,0.6925,6.15,0.0,0.0,1.0391698536053774e-05,0.0,167.74723089360933
PD+FF,0.0,1077,-0.6151338219642639,-0.8893533945083618,0.2694230377674103,True,0.29659127906666893,0.035600934028666494,1.088533878326416,0.0001307942293351516,6.108212255639955e-05,0.7625,4.75,0.0,0.0,6.922121292414847e-06,0.0,244.17418436724682
PD+FF,0.0,1078,-0.6580581068992615,-0.6858707666397095,0.23459486663341522,True,0.2617715590295298,0.03144376144930438,0.9584092497825623,0.00011515850201249123,5.3772448154632e-05,0.7775,4.45,0.0,0.0,5.4144819897155796e-06,0.0,257.3175641459355
PD+FF,0.0,1079,-0.5874135494232178,0.8651593327522278,0.4896434247493744,True,0.3147888021250831,0.039261701025407644,1.0771021842956543,0.0001343217008979991,6.362538260873407e-05,0.7525,4.95,0.0,0.0,7.494308093677914e-06,0.0,235.38458627103114
PD+FF,0.0,1080,-0.6397119164466858,0.7102972865104675,0.367546945810318,True,0.2789978724583042,0.03422284236319899,0.9787552952766418,0.00012424630403984338,5.8178178733214736e-05,0.7675,4.65,0.0,0.0,5.875095155251031e-06,0.0,249.29062094973509
PD+FF,0.0,1081,-1.3320256471633911,0.8601993322372437,0.3006768822669983,True,0.4704139246372572,0.05877021008677835,1.6089626550674438,0.00021218891197349876,9.953153494279832e-05,0.71,5.800000000000001,0.0,0.0,1.4474427830974961e-05,0.0,186.5666611225403
