noise_type,noise_std,method,success_rate,rmse_mean,rmse_std,steady_rmse_mean,steady_rmse_std,stable_ratio_mean,capture_time_mean,capture_time_std,settling_time_mean,forward_overshoot_mean,meaningful_ahead_ratio_mean,command_smoothness_mean,max_command_change_mean
velocity,0.01,Residual PPO,1.0,0.40437957674264907,0.13877487876086267,0.017667303909547627,0.006366305036763186,0.8055749999999999,3.888500000000001,0.6526045893188309,3.888500000000001,0.008392174243927002,0.0,0.0007142407610081136,0.0745134847611189
velocity,0.03,PD+FF,1.0,0.4333183048665524,0.13673664140807004,0.05689230659976602,0.01949349765674412,0.7207499999999999,5.584999999999999,0.7881782793251791,5.584999999999999,0.00792710781097412,0.0,0.004444151250645519,0.1726156747341156
velocity,0.03,Direct PPO,1.0,0.38457549884915354,0.14209160720326974,0.010323199876584113,0.002221209229091172,0.836275,3.3570000000000007,0.645601270135058,6.1419999999999995,0.016970385909080506,0.0,0.18474400103092192,1.0535839927196502
velocity,0.03,Residual PPO,1.0,0.4046748329699039,0.13879593605245313,0.020495567414909602,0.006477933844767944,0.8044249999999998,3.918,0.6451557951378877,3.918,0.014326707124710084,0.0,0.0061029505357146265,0.20987051650881766
velocity,0.05,PD+FF,1.0,0.4338465963304043,0.13682201177114078,0.05874484485015273,0.01963236663839761,0.7192749999999998,5.6205,0.8018134134572708,5.6205,0.014110517501831055,0.0,0.012318606460466982,0.2867345768213272
velocity,0.05,Direct PPO,0.97,0.38477472692728043,0.14204860898073293,0.01678200624883175,0.0028995661662175065,0.8099000000000001,3.514,0.699466939890657,17.875773195876288,0.022348127365112304,0.0,0.3631482616066933,1.4260231864452362
velocity,0.05,Residual PPO,1.0,0.4053164467215538,0.13879048577728126,0.025214788559824227,0.006822800516478089,0.801075,4.021,0.6313152936528625,4.119000000000001,0.019643731117248535,0.0001,0.016700060265138747,0.34455122381448744
velocity,0.1,PD+FF,1.0,0.4362104460597038,0.13700364625386,0.06603379968553781,0.01985304833062909,0.7036500000000001,5.918500000000002,0.8901307488228908,11.117,0.0302912437915802,0.00685,0.049072773829102516,0.5725407579541206
velocity,0.1,Direct PPO,0.79,0.38582811266183853,0.14177696257583217,0.034553768765181306,0.005621615941405825,0.672375,4.2235000000000005,1.1596218133512322,19.602531645569623,0.03335002481937408,0.00185,0.7898129463195801,2.0719105184078215
velocity,0.1,Residual PPO,0.99,0.4080420735478401,0.13863036012070684,0.039072941914200784,0.008792325695091628,0.7626,4.430000000000001,0.7625286879849177,16.853030303030305,0.03451509952545166,0.006775,0.06304723266512155,0.6520270335674286
