method,scenario,seed,success,reacquired,rmse,pre_maneuver_rmse,post_maneuver_rmse,post_p95_error,post_max_error,post_lateral_rmse,overall_stable_ratio,post_stable_ratio,reacquisition_time,forward_overshoot,command_smoothness,max_command_change,final_error,final_relative_speed,base_ugv_speed,max_ugv_speed
PD+FF,nominal,1060,True,True,0.29117305794848203,0.1111099713643279,0.0240525996984222,0.06199612095952034,0.08566189557313919,0.016750028838457005,0.7625,1.0,0.0,0.0,6.566031515831128e-06,0.00866315234452486,0.0001407265808666125,6.524972559418529e-05,0.4775193929672241,0.4775193929672241
PD+FF,nominal,1061,True,True,0.33157500580675653,0.1276796084660044,0.027638449944691463,0.07124228775501251,0.09843684732913971,0.001978842107352655,0.7475,1.0,0.0,0.0,7.038037438178435e-06,0.009985548444092274,0.00014822487719357014,6.950894749024883e-05,0.28927016258239746,0.28927016258239746
PD+FF,nominal,1062,True,True,0.38402391574630024,0.15104388817969946,0.03269730050035609,0.08427897095680237,0.11644984781742096,0.013051479011087242,0.7275,1.0,0.0,0.0,9.545206012262497e-06,0.010929525829851627,0.0001836131705204025,8.545170567231253e-05,0.4292861223220825,0.4292861223220825
PD+FF,nominal,1063,True,True,0.23207503953830522,0.08634271328394527,0.01869061029692329,0.04817761480808258,0.0665675476193428,0.0121314632069419,0.79,1.0,0.0,0.0,4.247417109581875e-06,0.007513337302953005,0.00010898220352828503,5.0532697059679776e-05,0.2895512878894806,0.2895512878894806
PD+FF,nominal,1064,True,True,0.49230937005134534,0.19165756032422154,0.04148791701739496,0.10693828761577606,0.14776065945625305,0.0027349969766095636,0.7025,1.0,0.0,0.0,1.4441817256738432e-05,0.01395441871136427,0.00023318857711274177,0.0001086960473912768,0.24278511106967926,0.24278511106967926
PD+FF,nominal,1065,True,True,0.24051411265283354,0.09250089990484672,0.02002352997336978,0.051612019538879395,0.07131464779376984,0.011855961570547288,0.7825,1.0,0.0,0.0,4.4524058466777205e-06,0.007251631002873182,0.00010430141992401332,4.934263415634632e-05,0.453745573759079,0.453745573759079
PD+FF,nominal,1066,True,True,0.41529727657905946,0.15843234387923188,0.03429620151463891,0.08840057253837585,0.12214574962854385,0.006495310296961024,0.7225,1.0,0.0,0.0,1.117567444453016e-05,0.012309524230659008,0.00019222057017032057,9.019601566251367e-05,0.20805609226226807,0.20805609226226807
PD+FF,nominal,1067,True,True,0.2944870702960977,0.10806819989543962,0.023393655849021602,0.060299329459667206,0.08331695944070816,0.018475402676065455,0.765,1.0,0.0,0.0,6.961503004276892e-06,0.009821220301091671,0.00012674846220761538,5.9195386711508036e-05,0.20151829719543457,0.20151829719543457
PD+FF,nominal,1068,True,True,0.26916741512965925,0.10063246418588422,0.02178380745440625,0.056149087846279144,0.07758357375860214,0.010673425985612214,0.7725,1.0,0.0,0.0,5.418373348220484e-06,0.00858324021100998,0.0001233189832419157,5.733281432185322e-05,0.25048118829727173,0.25048118829727173
PD+FF,nominal,1069,True,True,0.26616592563922037,0.09780027162682887,0.021171347988186363,0.054570313543081284,0.0754009410738945,0.01714319689732757,0.775,1.0,0.0,0.0,5.739279458794044e-06,0.008807997219264507,0.00011855122284032404,5.5316580983344465e-05,0.24751581251621246,0.24751581251621246
PD+FF,nominal,1070,True,True,0.5619850781556242,0.21596270282260907,0.04674975179228608,0.12050173431634903,0.16650010645389557,0.019526399532136474,0.69,0.9822064056939501,0.20000000000000018,0.0,2.0166144167887978e-05,0.015840740874409676,0.0002622129686642438,0.00012211395369376987,0.22921264171600342,0.22921264171600342
PD+FF,nominal,1071,True,True,0.5414778381814165,0.21060737621342204,0.04559102624480013,0.11751289665699005,0.16237092018127441,0.015052318840480068,0.6925,0.9857651245551602,0.15000000000000036,0.0,1.7520471374155022e-05,0.015084301121532917,0.0002566158364061266,0.00011975569213973358,0.26974478363990784,0.26974478363990784
PD+FF,nominal,1072,True,True,0.4337090125174954,0.17625705288742888,0.0381547080403141,0.09834777563810349,0.13588882982730865,0.0073280740935666305,0.7125,1.0,0.0,0.0,8.856300155457575e-06,0.011734899133443832,0.00021931495575699955,0.00010147508874069899,0.4661308228969574,0.4661308228969574
PD+FF,nominal,1073,True,True,0.5426552452070172,0.21514850773735852,0.04657233011984124,0.12004543840885162,0.16587157547473907,0.0172889972486109,0.69,0.9822064056939501,0.20000000000000018,0.0,1.5028509551484603e-05,0.01445464976131916,0.00025470092077739537,0.00011921399709535763,0.3800120949745178,0.3800120949745178
PD+FF,nominal,1074,True,True,0.20873705853490493,0.08342601332370524,0.01805974817262338,0.0465502105653286,0.0643191933631897,0.005750588914016263,0.7925,1.0,0.0,0.0,3.1749229947308777e-06,0.006803547032177448,8.266921940958127e-05,3.983652641181834e-05,0.4962819218635559,0.4962819218635559
