condition,nominal_success_rate,robust_success_rate,success_delta_percentage_points,nominal_primary_error,robust_primary_error,primary_error_change_percent,stable_ratio_delta_percentage_points,nominal_forward_overshoot,robust_forward_overshoot,forward_overshoot_change_percent,nominal_command_smoothness,robust_command_smoothness,command_smoothness_change_percent,nominal_fail_robust_success,nominal_success_robust_fail,both_success,both_fail,robust_lower_primary_error_count,paired_episode_count,robust_lower_primary_error_rate
Nominal,1.0,1.0,0.0,0.017267666775733232,0.008759565844666212,-49.27186192302314,-1.2599999999999945,0.005319924354553223,0.0012850487232208252,-75.84460534441668,3.60298520536162e-05,1.777441804733826e-05,-50.66752419385996,0,0,100,0,100,100,1.0
Position noise 0.10 m,1.0,1.0,0.0,0.026906751226633788,0.022793073123320937,-15.288646587853032,-2.2199999999999998,0.015540531873703002,0.032612849473953244,109.85671365044628,0.014307988481596113,0.03128363301977515,118.64452197465943,0,0,100,0,83,100,0.83
Velocity noise 0.10 m/s,0.99,0.97,-2.0000000000000018,0.039072941914200784,0.0283167193364352,-27.528571054068266,-1.6099999999999892,0.03451509952545166,0.04055726408958435,17.505858731993968,0.06304723266512155,0.07667415305972099,21.613827948610354,0,2,97,1,99,100,0.99
Delay 400 ms,1.0,1.0,0.0,0.008870443839114159,0.00672461430542171,-24.190779769445456,0.945000000000007,0.006186718344688416,0.009666013717651366,56.238140789940545,7.714410268818028e-05,6.644020304520381e-05,-13.875201434699532,0,0,100,0,83,100,0.83
Vision loss 1.0 s,1.0,1.0,0.0,0.011322884107289224,0.005512645772157337,-51.314119972238224,-1.1199999999999877,0.008893381357192993,0.010826786756515503,21.739823377289067,0.00012138207981479354,0.00021690802266675747,78.69855500722903,0,0,100,0,100,100,1.0
Speed step,1.0,1.0,0.0,0.01831785092574785,0.009891512353182292,-46.000694113747635,-0.0711743772242035,0.012179708480834961,0.002756671905517578,-77.36668402322385,0.00023464274141588249,0.00030137364694382996,28.439364936362182,0,0,100,0,100,100,1.0
Lateral sine,1.0,1.0,0.0,0.0430585195947395,0.03776901676585251,-12.28445120424719,-0.028469750889670298,0.010521556062399035,0.013959754891438214,32.67766486866231,0.00041286093823146076,0.0004345988974091597,5.2652012250943585,0,0,100,0,100,100,1.0
Constant turn,1.0,1.0,0.0,0.024352336350566807,0.02632351079867701,8.0943956248548,0.0,0.013838688396038062,0.012417781274902773,-10.26764300540278,5.144233993632952e-05,3.2645279370626666e-05,-36.54005744872431,0,0,100,0,9,100,0.09
