controller,condition,family,seed,success,full_rmse,primary_error,stable_ratio,forward_overshoot,command_smoothness,secondary_time_name,secondary_time,post_peak_or_p95_error,final_error
Nominal Residual PPO,Nominal,noise,1060,True,0.26284900307655334,0.01466824859380722,0.825,0.009819984436035156,3.732413097168319e-05,settling_time,3.5,nan,0.009829203598201275
Nominal Residual PPO,Nominal,noise,1061,True,0.3013931214809418,0.010866858996450901,0.8275,0.0030946731567382812,3.347654273966327e-05,settling_time,3.45,nan,0.0031151194125413895
Nominal Residual PPO,Nominal,noise,1062,True,0.3527791202068329,0.016931327059864998,0.815,0.008145332336425781,3.599182309699245e-05,settling_time,3.7,nan,0.00814889743924141
Nominal Residual PPO,Nominal,noise,1063,True,0.2001395970582962,0.007652668748050928,0.87,0.003108501434326172,2.833274265867658e-05,settling_time,2.6,nan,0.003128601238131523
Nominal Residual PPO,Nominal,noise,1064,True,0.4604463279247284,0.016068242490291595,0.79,0.0013566017150878906,3.937203291570768e-05,settling_time,4.2,nan,0.0014716737205162644
Nominal Residual PPO,Nominal,noise,1065,True,0.21397964656352997,0.012054307386279106,0.845,0.009021759033203125,3.362805728102103e-05,settling_time,3.1,nan,0.009028063155710697
Nominal Residual PPO,Nominal,noise,1066,True,0.38269710540771484,0.011865431442856789,0.8075,7.677078247070312e-05,3.8107777072582394e-05,settling_time,3.85,nan,0.000734869041480124
Nominal Residual PPO,Nominal,noise,1067,True,0.25913769006729126,0.010138627141714096,0.84,0.0,3.2689484214643016e-05,settling_time,3.2,nan,0.0007733528036624193
Nominal Residual PPO,Nominal,noise,1068,True,0.23579704761505127,0.008046532981097698,0.855,0.0016617774963378906,3.756290607270785e-05,settling_time,2.9000000000000004,nan,0.0017451985040679574
Nominal Residual PPO,Nominal,noise,1069,True,0.233356773853302,0.009373721666634083,0.845,0.0015549659729003906,2.91042906610528e-05,settling_time,3.1,nan,0.0016481367638334632
Nominal Residual PPO,Nominal,noise,1070,True,0.5262418985366821,0.016609590500593185,0.785,0.0008563995361328125,4.268900374881923e-05,settling_time,4.3,nan,0.001065391581505537
Nominal Residual PPO,Nominal,noise,1071,True,0.5082069039344788,0.016755225136876106,0.785,0.0023593902587890625,3.896854832419194e-05,settling_time,4.3,nan,0.0024014052469283342
Nominal Residual PPO,Nominal,noise,1072,True,0.4093969762325287,0.018889451399445534,0.8,0.009420394897460938,2.908472015406005e-05,settling_time,4.0,nan,0.009428090415894985
Nominal Residual PPO,Nominal,noise,1073,True,0.5137246251106262,0.02030070498585701,0.785,0.006397247314453125,3.4934513678308576e-05,settling_time,4.3,nan,0.006397361401468515
Nominal Residual PPO,Nominal,noise,1074,True,0.18452243506908417,0.011624987237155437,0.8625,0.010491371154785156,2.989883068948984e-05,settling_time,2.75,nan,0.01050298847258091
Nominal Residual PPO,Nominal,noise,1075,True,0.30818530917167664,0.011324567720293999,0.835,0.0012459754943847656,3.9092174120014533e-05,settling_time,3.3000000000000003,nan,0.001376754604279995
Nominal Residual PPO,Nominal,noise,1076,True,0.4946329891681671,0.02471805550158024,0.7825,0.008947372436523438,3.34107389790006e-05,settling_time,4.3500000000000005,nan,0.008953460492193699
Nominal Residual PPO,Nominal,noise,1077,True,0.2660285532474518,0.012759940698742867,0.8275,0.0023565292358398438,4.4798282033298165e-05,settling_time,3.45,nan,0.0023983505088835955
Nominal Residual PPO,Nominal,noise,1078,True,0.2314525544643402,0.010550661943852901,0.845,0.0010662078857421875,4.526311386143789e-05,settling_time,3.1,nan,0.0012264832621440291
Nominal Residual PPO,Nominal,noise,1079,True,0.2828395366668701,0.014003831893205643,0.83,0.010272979736328125,3.117424785159528e-05,settling_time,3.4000000000000004,nan,0.01028369553387165
Nominal Residual PPO,Nominal,noise,1080,True,0.24638023972511292,0.01018393225967884,0.85,0.005969047546386719,3.0383576813619584e-05,settling_time,3.0,nan,0.005969057325273752
Nominal Residual PPO,Nominal,noise,1081,True,0.43536776304244995,0.015148978680372238,0.805,0.0035161972045898438,3.811847636825405e-05,settling_time,3.9000000000000004,nan,0.003529487643390894
Nominal Residual PPO,Nominal,noise,1082,True,0.2785293757915497,0.011386706493794918,0.835,0.003928661346435547,3.5648656194098294e-05,settling_time,3.3000000000000003,nan,0.003936902619898319
Nominal Residual PPO,Nominal,noise,1083,True,0.41007572412490845,0.012609317898750305,0.805,0.0003886222839355469,3.9200651372084394e-05,settling_time,3.9000000000000004,nan,0.000793584855273366
Nominal Residual PPO,Nominal,noise,1084,True,0.30950862169265747,0.01549598015844822,0.8175,0.007361412048339844,4.517088018474169e-05,settling_time,3.6500000000000004,nan,0.007363000884652138
Nominal Residual PPO,Nominal,noise,1085,True,0.22112040221691132,0.010674087330698967,0.8525,0.007616996765136719,3.308123996248469e-05,settling_time,2.95,nan,0.007619136944413185
Nominal Residual PPO,Nominal,noise,1086,True,0.2867248058319092,0.014609170146286488,0.825,0.008494377136230469,4.1397881432203576e-05,settling_time,3.5,nan,0.008498967625200748
Nominal Residual PPO,Nominal,noise,1087,True,0.42493703961372375,0.01865224726498127,0.8025,0.004489898681640625,4.246379103278741e-05,settling_time,3.95,nan,0.004493757151067257
Nominal Residual PPO,Nominal,noise,1088,True,0.43281158804893494,0.02176523581147194,0.7925,0.0092315673828125,3.8189857150428e-05,settling_time,4.15,nan,0.009238620288670063
Nominal Residual PPO,Nominal,noise,1089,True,0.6145689487457275,0.026189425960183144,0.76,0.006357669830322266,3.324971839901991e-05,settling_time,4.800000000000001,nan,0.0063577559776604176
Nominal Residual PPO,Nominal,noise,1090,True,0.3150636851787567,0.013553103432059288,0.83,0.003487110137939453,3.8386588130379096e-05,settling_time,3.4000000000000004,nan,0.0035006410907953978
Nominal Residual PPO,Nominal,noise,1091,True,0.6221154928207397,0.028546929359436035,0.76,0.005690097808837891,3.7966987292747945e-05,settling_time,4.800000000000001,nan,0.005690254736691713
Nominal Residual PPO,Nominal,noise,1092,True,0.6117554306983948,0.02473466284573078,0.76,0.003916740417480469,3.634329550550319e-05,settling_time,4.800000000000001,nan,0.003925046883523464
Nominal Residual PPO,Nominal,noise,1093,True,0.2733713686466217,0.01256620604544878,0.835,0.008182525634765625,3.1737450626678765e-05,settling_time,3.3000000000000003,nan,0.008186180144548416
Nominal Residual PPO,Nominal,noise,1094,True,0.2737323045730591,0.011451330035924911,0.8425,0.0016865730285644531,3.667227065307088e-05,settling_time,3.1500000000000004,nan,0.001767573761753738
Nominal Residual PPO,Nominal,noise,1095,True,0.3864879012107849,0.015200190246105194,0.8075,0.0032758712768554688,3.847349944408052e-05,settling_time,3.85,nan,0.0032928581349551678
Nominal Residual PPO,Nominal,noise,1096,True,0.23160295188426971,0.009051751345396042,0.85,0.002502918243408203,2.9352713681873865e-05,settling_time,3.0,nan,0.0025395737029612064
Nominal Residual PPO,Nominal,noise,1097,True,0.3694742023944855,0.013029132038354874,0.81,0.0025110244750976562,3.658982677734457e-05,settling_time,3.8000000000000003,nan,0.0025473684072494507
Nominal Residual PPO,Nominal,noise,1098,True,0.40753012895584106,0.02020401693880558,0.8,0.009717941284179688,3.0371804314199835e-05,settling_time,4.0,nan,0.009726636111736298
Nominal Residual PPO,Nominal,noise,1099,True,0.6162301898002625,0.026998097077012062,0.7575,0.006012439727783203,3.2723961339797825e-05,settling_time,4.8500000000000005,nan,0.006012442987412214
Robust Residual PPO,Nominal,noise,1000,True,0.3620888590812683,0.005032726563513279,0.7975,0.0011992454528808594,1.5799892935319804e-05,settling_time,4.05,nan,0.0021343070548027754
Robust Residual PPO,Nominal,noise,1001,True,0.3693525791168213,0.008537966758012772,0.8075,0.000606536865234375,2.604924338811543e-05,settling_time,3.85,nan,0.0006145201623439789
Robust Residual PPO,Nominal,noise,1002,True,0.460326224565506,0.010328276082873344,0.77,0.0018024444580078125,1.5424220691784285e-05,settling_time,4.6000000000000005,nan,0.003980319015681744
Robust Residual PPO,Nominal,noise,1003,True,0.5405313372612,0.012554517947137356,0.7575,0.0012478828430175781,2.0276043869671412e-05,settling_time,4.8500000000000005,nan,0.0022905326914042234
Robust Residual PPO,Nominal,noise,1004,True,0.6119064092636108,0.0145483473315835,0.7525,0.0005040168762207031,2.8158769055153243e-05,settling_time,4.95,nan,0.0006593945436179638
Robust Residual PPO,Nominal,noise,1005,True,0.6034759283065796,0.011639738455414772,0.7525,0.0008132457733154297,2.0827208572882228e-05,settling_time,4.95,nan,0.000987304258160293
Robust Residual PPO,Nominal,noise,1006,True,0.43737977743148804,0.006510183215141296,0.7825,0.0008368492126464844,1.7907494111568667e-05,settling_time,4.3500000000000005,nan,0.0010471121640875936
Robust Residual PPO,Nominal,noise,1007,True,0.6409328579902649,0.018504604697227478,0.735,0.0015730857849121094,1.5095376511453651e-05,settling_time,5.300000000000001,nan,0.003280704142525792
Robust Residual PPO,Nominal,noise,1008,True,0.534872829914093,0.008795743808150291,0.765,0.0006680488586425781,2.014040910580661e-05,settling_time,4.7,nan,0.0006752446643076837
Robust Residual PPO,Nominal,noise,1009,True,0.555972158908844,0.01128575298935175,0.76,0.00032329559326171875,2.3973836505319923e-05,settling_time,4.800000000000001,nan,0.0010656658560037613
Robust Residual PPO,Nominal,noise,1010,True,0.6565408110618591,0.028627481311559677,0.7175,0.0021772384643554688,1.1406932571844663e-05,settling_time,5.65,nan,0.00511014461517334
Robust Residual PPO,Nominal,noise,1011,True,0.45439666509628296,0.00703851692378521,0.7775,0.0006580352783203125,1.9036844605579972e-05,settling_time,4.45,nan,0.0006613705772906542
Robust Residual PPO,Nominal,noise,1012,True,0.4644744396209717,0.006297828163951635,0.7775,0.0007107257843017578,1.9585842892411165e-05,settling_time,4.45,nan,0.0007491513388231397
Robust Residual PPO,Nominal,noise,1013,True,0.3083153963088989,0.008648828603327274,0.8175,0.0016307830810546875,2.1539053705055267e-05,settling_time,3.6500000000000004,nan,0.003477418562397361
Robust Residual PPO,Nominal,noise,1014,True,0.45017746090888977,0.010037733241915703,0.7675,0.002132415771484375,1.1499101674417034e-05,settling_time,4.65,nan,0.004979375749826431
Robust Residual PPO,Nominal,noise,1015,True,0.4602266848087311,0.008628147654235363,0.7725,0.0015687942504882812,1.4050347999727819e-05,settling_time,4.55,nan,0.0032695368863642216
Robust Residual PPO,Nominal,noise,1016,True,0.4944411814212799,0.009346414357423782,0.7675,0.0009455680847167969,1.8232343791169114e-05,settling_time,4.65,nan,0.0013751968508586287
Robust Residual PPO,Nominal,noise,1017,True,0.2526201009750366,0.005195533856749535,0.8275,0.0023031234741210938,1.3710200619243551e-05,settling_time,3.45,nan,0.005472839809954166
Robust Residual PPO,Nominal,noise,1018,True,0.35772302746772766,0.0076868790201842785,0.7925,0.0020799636840820312,1.275571503356332e-05,settling_time,4.15,nan,0.0048058535903692245
Robust Residual PPO,Nominal,noise,1019,True,0.5137601494789124,0.010808650404214859,0.7625,0.001194000244140625,1.7684440535958856e-05,settling_time,4.75,nan,0.0021089825313538313
Robust Residual PPO,Nominal,noise,1020,True,0.3147861957550049,0.004836459644138813,0.815,0.0003752708435058594,2.01296825252939e-05,settling_time,3.7,nan,0.0009228579001501203
Robust Residual PPO,Nominal,noise,1021,True,0.5298686027526855,0.016252897679805756,0.7525,0.0023431777954101562,2.0212855815771036e-05,settling_time,4.95,nan,0.005596786737442017
Robust Residual PPO,Nominal,noise,1022,True,0.6872009038925171,0.02102065272629261,0.73,0.0014591217041015625,1.7017388017848134e-05,settling_time,5.4,nan,0.002926051151007414
Robust Residual PPO,Nominal,noise,1023,True,0.5429297685623169,0.012580716982483864,0.7525,0.00215911865234375,1.40955835377099e-05,settling_time,4.95,nan,0.005056542810052633
Robust Residual PPO,Nominal,noise,1024,True,0.4573371112346649,0.008821157738566399,0.7775,0.000980377197265625,2.20468791667372e-05,settling_time,4.45,nan,0.0014796470059081912
Robust Residual PPO,Nominal,noise,1025,True,0.20817309617996216,0.0013346755877137184,0.845,0.000553131103515625,1.118497493735049e-05,settling_time,3.1,nan,0.0006147522362880409
Robust Residual PPO,Nominal,noise,1026,True,0.5110901594161987,0.008918385952711105,0.7675,0.0006203651428222656,1.9292703655082732e-05,settling_time,4.65,nan,0.0006226316909305751
Robust Residual PPO,Nominal,noise,1027,True,0.6349978446960449,0.01890973001718521,0.735,0.0014014244079589844,1.4892480066919234e-05,settling_time,5.300000000000001,nan,0.002760120667517185
Robust Residual PPO,Nominal,noise,1028,True,0.23676010966300964,0.005308260675519705,0.83,0.0016407966613769531,1.3837363439961337e-05,settling_time,3.4000000000000004,nan,0.003496072255074978
Robust Residual PPO,Nominal,noise,1029,True,0.235446497797966,0.002414180664345622,0.8425,0.0003235340118408203,1.4569516679330263e-05,settling_time,3.1500000000000004,nan,0.0010703200241550803
Robust Residual PPO,Nominal,noise,1030,True,0.5895324349403381,0.01801425591111183,0.7475,0.00194549560546875,2.3321454136748798e-05,settling_time,5.050000000000001,nan,0.0044151414185762405
Robust Residual PPO,Nominal,noise,1031,True,0.35902994871139526,0.004262740258127451,0.805,0.0016150474548339844,1.9036793673876673e-05,settling_time,3.9000000000000004,nan,0.0034090701956301928
Robust Residual PPO,Nominal,noise,1032,True,0.25318607687950134,0.008278182707726955,0.8275,0.0023565292358398438,1.67006510309875e-05,settling_time,3.45,nan,0.005630167666822672
Robust Residual PPO,Nominal,noise,1033,True,0.299454003572464,0.005023809615522623,0.815,0.0021848678588867188,1.5231912584567908e-05,settling_time,3.7,nan,0.005129838362336159
Robust Residual PPO,Nominal,noise,1034,True,0.19764333963394165,0.0042952182702720165,0.855,0.00037670135498046875,1.5738451111246832e-05,settling_time,2.9000000000000004,nan,0.0009115415741689503
