seed,initial_uav_x,initial_uav_y,ugv_vx,episode_length,success,total_reward,rmse,steady_rmse,max_tracking_error,final_error,final_relative_speed,stable_ratio,capture_time,command_smoothness,mean_command_change,max_command_change,saturation_ratio,mean_residual,rms_residual,max_residual,residual_smoothness
1000,-1.2179213762283325,0.20768369734287262,0.34128254652023315,400,True,259.9993637975407,0.36120957136154175,0.013683193363249302,1.2965424060821533,0.005001693498343229,1.3944091733719688e-05,0.8125,3.75,3.3793032343965024e-05,0.0019561045337468386,0.05571926385164261,0.0425,0.02956201322376728,0.063721664249897,0.15413354337215424,1.9871720724040642e-05
1001,-1.0811076164245605,-0.9685990810394287,0.25630688667297363,400,True,256.1891897431613,0.3760833442211151,0.016620410606265068,1.4634742736816406,0.0019275072263553739,1.6550966392969713e-05,0.81,3.799999952316284,4.318963328842074e-05,0.0025740042328834534,0.05437629297375679,0.0,0.029577886685729027,0.06473281979560852,0.17141440510749817,2.2373928004526533e-05
1002,-1.428768277168274,-0.28562131524086,0.4242836833000183,400,True,227.91166899013504,0.46245697140693665,0.021434780210256577,1.5500004291534424,0.007963348180055618,2.4469538402627222e-05,0.7875,4.25,3.219581412849948e-05,0.0019805445335805416,0.05298702046275139,0.0875,0.034252043813467026,0.06764880567789078,0.1549753099679947,2.000327003770508e-05
1003,-1.7183640003204346,-0.48658838868141174,0.34840381145477295,400,True,207.31395074910705,0.543838620185852,0.023328004404902458,1.8390741348266602,0.005236085969954729,2.6381725547253154e-05,0.7725,4.550000190734863,3.670249861897901e-05,0.0023248742800205946,0.05634022131562233,0.085,0.03601401671767235,0.07075756043195724,0.15686844289302826,2.068250614684075e-05
1004,-1.998679280281067,-0.7396973967552185,0.24154320359230042,400,True,191.08349627897863,0.6163114905357361,0.024074099957942963,2.150963544845581,0.0014178375713527203,2.4515633413102478e-05,0.7625,4.75,4.413809801917523e-05,0.0027701815124601126,0.055192913860082626,0.075,0.037327226251363754,0.0736604854464531,0.16096889972686768,2.163767203455791e-05
1005,-1.8766711950302124,0.8611240983009338,0.28618520498275757,400,True,196.20108799596605,0.602458119392395,0.02085922658443451,2.090625047683716,0.0029817847535014153,2.1567355361185037e-05,0.7675,4.650000095367432,3.913275577360764e-05,0.00249710981734097,0.055166564881801605,0.0775,0.03634672984480858,0.07307477295398712,0.1588299721479416,1.939465983014088e-05
1006,-1.4946178197860718,0.20171388983726501,0.28934937715530396,400,True,239.52566942113586,0.43632838129997253,0.015342536382377148,1.5514538288116455,0.0031171035952866077,1.1388018720026594e-05,0.795,4.099999904632568,3.6151803215034306e-05,0.002092739101499319,0.053231265395879745,0.0525,0.03164638206362724,0.06685754656791687,0.1538892388343811,2.0123559806961566e-05
1007,-1.8931626081466675,0.6319606900215149,0.39287856221199036,400,True,179.26265936777395,0.6392723321914673,0.02845231257379055,2.0610768795013428,0.00684319855645299,2.6273884941474535e-05,0.755,4.900000095367432,3.290406311862171e-05,0.002142814453691244,0.05471135675907135,0.115,0.03894627466797829,0.07378925383090973,0.1554505079984665,1.894613706099335e-05
1008,-1.749120831489563,0.6261014938354492,0.26522985100746155,400,True,214.28936454503875,0.533538818359375,0.017587458714842796,1.8834666013717651,0.002247939119115472,1.3434510037768632e-05,0.7775,4.449999809265137,3.853837915812619e-05,0.002355073345825076,0.05558688938617706,0.0625,0.03424150124192238,0.07076806575059891,0.15691137313842773,1.980238812393509e-05
1009,-1.9152493476867676,-0.3461688160896301,0.2149554342031479,400,True,206.28245329694454,0.5579289197921753,0.019593173637986183,1.9666138887405396,0.0007689861813560128,1.8362397895543836e-05,0.77,4.599999904632568,4.177825394435786e-05,0.002525720279663801,0.05725100636482239,0.0625,0.035193827003240585,0.07122911512851715,0.1556846648454666,2.13248458749149e-05
1010,-1.8575115203857422,0.07161146402359009,0.4753030240535736,400,True,164.7495236318369,0.6557148098945618,0.03814190253615379,1.9881092309951782,0.00969989225268364,4.745781552628614e-05,0.74,5.199999809265137,2.8691438274108805e-05,0.0016017148736864328,0.05450551584362984,0.1475,0.04165934398770332,0.07519786804914474,0.1528051793575287,1.912295920192264e-05
1011,-1.57381272315979,0.12664707005023956,0.26378002762794495,400,True,234.55191526294527,0.4535141885280609,0.015551380813121796,1.6155236959457397,0.0021974556148052216,1.2921393135911785e-05,0.79,4.199999809265137,3.744530840776861e-05,0.0021516012493520975,0.05368965491652489,0.05,0.03204314410686493,0.0675143450498581,0.15345239639282227,2.042533924395684e-05
1012,-1.5405192375183105,0.561293363571167,0.2715309262275696,400,True,233.94531953723305,0.46328115463256836,0.015351935289800167,1.6671758890151978,0.0024710961151868105,1.3396152098721359e-05,0.7925,4.150000095367432,3.762917185667902e-05,0.0022737891413271427,0.05304685980081558,0.05,0.0322064645588398,0.06846164166927338,0.1571425050497055,1.9633689589682035e-05
1013,-0.8082606196403503,-0.8420410752296448,0.401797890663147,400,True,268.49429491738664,0.3158614933490753,0.0154860345646739,1.1964707374572754,0.0071718767285346985,2.0352317733340897e-05,0.8175,3.6500000953674316,4.7975743655115366e-05,0.002410098910331726,0.06542210280895233,0.0,0.027910446748137474,0.06002809479832649,0.1650579571723938,3.0210367185645737e-05
1014,-1.3467140197753906,0.1714046150445938,0.4693894386291504,400,True,230.5157233365461,0.44937044382095337,0.021657641977071762,1.4806573390960693,0.009526695124804974,3.117717642453499e-05,0.79,4.199999809265137,2.895778561651241e-05,0.0016169575974345207,0.054989203810691833,0.0975,0.03430651128292084,0.06732849776744843,0.15339289605617523,1.9179882656317204e-05
1015,-1.4601455926895142,0.21413566172122955,0.39239153265953064,400,True,230.80010414715863,0.45922550559043884,0.01915055699646473,1.5589067935943604,0.006839871406555176,1.858260111475829e-05,0.79,4.199999809265137,3.1763906008563936e-05,0.0018272976158186793,0.05576050654053688,0.0775,0.03347650542855263,0.06748353689908981,0.15376253426074982,1.9471857740427367e-05
