phase,family,condition,severity,severity_unit,method,success_rate,full_rmse_mean,primary_error_name,primary_error_mean,stable_ratio_mean,capture_time_mean,settling_or_recovery_time_mean,forward_overshoot_mean,command_smoothness_mean,max_command_change_mean,held_out,source_file,notes
5.2,position_noise,position_observation_noise,0.1,m,PD+FF,1.0,0.4336428228020668,steady_rmse,0.0577603065222501,0.7209250000000001,5.586,5.586,0.0112281370162963,0.0081430339906364,0.2293052147328853,False,observation_noise_summary.csv,
5.2,position_noise,position_observation_noise,0.1,m,Direct PPO,0.86,0.3855073587596416,steady_rmse,0.0289174489490687,0.7131500000000002,3.871,19.41337209302326,0.0293980222940444,0.7193187916278839,2.0393520581722258,False,observation_noise_summary.csv,
5.2,position_noise,position_observation_noise,0.1,m,Residual PPO,1.0,0.4056119480729103,steady_rmse,0.0269067512266337,0.8001999999999998,4.015,4.0760000000000005,0.015540531873703,0.0143079884815961,0.3107734909653664,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.0,m/s,PD+FF,1.0,0.4330287542939186,steady_rmse,0.0557829068228602,0.7215250000000002,5.5695,5.5695,0.0,1.023695691856119e-05,0.0117104809777811,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.0,m/s,Direct PPO,1.0,0.3845086766779422,steady_rmse,0.0063297923095524,0.8410750000000001,3.1795,3.1795,0.0074892652034759,0.0023249562643468,0.4500536586344242,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.0,m/s,Residual PPO,1.0,0.404345293790102,steady_rmse,0.0172676667757332,0.8057999999999998,3.884,3.884,0.0053199243545532,3.60298520536162e-05,0.0549444590136408,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.01,m/s,PD+FF,1.0,0.4330569392442703,steady_rmse,0.0559201019443571,0.721425,5.5715,5.5715,0.0021266484260559,0.0005030546756461,0.0580747243389487,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.01,m/s,Direct PPO,1.0,0.3845084379613399,steady_rmse,0.0065629903716035,0.8404249999999999,3.2030000000000003,3.2030000000000003,0.0110520601272583,0.0330000081472098,0.5414269608259201,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.01,m/s,Residual PPO,1.0,0.404379576742649,steady_rmse,0.0176673039095476,0.8055749999999999,3.888500000000001,3.888500000000001,0.008392174243927,0.0007142407610081,0.0745134847611189,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.03,m/s,PD+FF,1.0,0.4333183048665524,steady_rmse,0.056892306599766,0.7207499999999999,5.584999999999999,5.584999999999999,0.0079271078109741,0.0044441512506455,0.1726156747341156,False,observation_noise_summary.csv,
5.2,velocity_noise,velocity_observation_noise,0.03,m/s,Direct PPO,1.0,0.3845754988491535,steady_rmse,0.0103231998765841,0.836275,3.3570000000000007,6.142,0.0169703859090805,0.1847440010309219,1.0535839927196502,False,observation_noise_summary.csv,
